source,target,relation,source_label,target_label
prof::Appius Aemilius Crassus,ent::corporate_org::Creddia Advisors – Regulatory Issues & EU Affairs,worked_at,Appius Aemilius Crassus,Creddia Advisors – Regulatory Issues & EU Affairs
prof::Appius Aemilius Crassus,ent::corporate_org::European Commission,worked_at,Appius Aemilius Crassus,European Commission
prof::Appius Aemilius Crassus,ent::corporate_org::Law,worked_at,Appius Aemilius Crassus,Law
prof::Appius Aemilius Crassus,ent::corporate_org::Of The Galician Government,worked_at,Appius Aemilius Crassus,Of The Galician Government
prof::Appius Aemilius Crassus,ent::corporate_org::Off Counsel,worked_at,Appius Aemilius Crassus,Off Counsel
prof::Appius Aemilius Crassus,ent::corporate_org::Regulation,worked_at,Appius Aemilius Crassus,Regulation
prof::Appius Aemilius Crassus,ent::corporate_org::Telecommunications,worked_at,Appius Aemilius Crassus,Telecommunications
prof::Appius Aemilius Crassus,ent::corporate_org::Telecommunications Regulatory Authority,worked_at,Appius Aemilius Crassus,Telecommunications Regulatory Authority
prof::Appius Aemilius Crassus,ent::academic_org::##Ual Property Law,studied_at,Appius Aemilius Crassus,##Ual Property Law
prof::Appius Aemilius Crassus,ent::academic_org::Ceu University,studied_at,Appius Aemilius Crassus,Ceu University
prof::Appius Aemilius Crassus,ent::academic_org::College Of Europe,studied_at,Appius Aemilius Crassus,College Of Europe
prof::Appius Aemilius Crassus,ent::academic_org::Comillas University,studied_at,Appius Aemilius Crassus,Comillas University
prof::Appius Aemilius Crassus,ent::academic_org::Department Of State,studied_at,Appius Aemilius Crassus,Department Of State
prof::Appius Aemilius Crassus,ent::academic_org::Energy,studied_at,Appius Aemilius Crassus,Energy
prof::Appius Aemilius Crassus,ent::academic_org::European Commission,studied_at,Appius Aemilius Crassus,European Commission
prof::Appius Aemilius Crassus,ent::academic_org::Ie University,studied_at,Appius Aemilius Crassus,Ie University Spain
prof::Appius Aemilius Crassus,ent::academic_org::Iese,studied_at,Appius Aemilius Crassus,Iese
prof::Appius Aemilius Crassus,ent::academic_org::Industrial And Intel,studied_at,Appius Aemilius Crassus,Industrial And Intel
prof::Appius Aemilius Crassus,ent::academic_org::Law,studied_at,Appius Aemilius Crassus,Law
prof::Appius Aemilius Crassus,ent::academic_org::University Of Valladolid,studied_at,Appius Aemilius Crassus,University Of Valladolid
prof::Appius Aemilius Crassus,ent::academic_org::Université Libre De Bruxe,studied_at,Appius Aemilius Crassus,Université Libre De Bruxe
prof::Appius Aemilius Crassus,ent::academic_org::Us Government,studied_at,Appius Aemilius Crassus,Us Government
prof::Appius Aemilius Crassus,ent::course::##Lect,teaches_course,Appius Aemilius Crassus,##Lect
prof::Appius Aemilius Crassus,ent::course::Eu Regulation Of Telecommunications And,teaches_course,Appius Aemilius Crassus,Eu Regulation Of Telecommunications And
ent::location::B,prof::Appius Claudius Scipio,located_in,B,Appius Claudius Scipio
ent::location::B,prof::Claudia Drusa,located_in,B,Claudia Drusa
ent::location::B,prof::Appius Cornelius Lepidus,located_in,B,Appius Cornelius Lepidus
ent::location::B,prof::Appius Licinius Scipio,worked_in,B,Appius Licinius Scipio
ent::location::Belgium,prof::Appius Calpurnius Paullus,located_in,Belgium,Appius Calpurnius Paullus
ent::location::Belgium,prof::Appius Claudius Caesar,located_in,Belgium,Appius Claudius Caesar
ent::location::Belgium,prof::Appius Licinius Drusus,located_in,Belgium,Appius Licinius Drusus
ent::location::Belgium,prof::Appius Licinius Brutus,located_in,Belgium,Appius Licinius Brutus
ent::location::Belgium,prof::Appius Licinius Scipio,worked_in,Belgium,Appius Licinius Scipio
ent::location::Brussels,prof::Appius Claudius Caesar,located_in,Brussels,Appius Claudius Caesar
ent::location::Brussels,prof::Appius Licinius Brutus,located_in,Brussels,Appius Licinius Brutus
ent::location::Brussels,prof::Appius Licinius Scipio,worked_in,Brussels,Appius Licinius Scipio
ent::location::Madrid,prof::Appius Calpurnius Severus,located_in,Madrid,Appius Calpurnius Severus
ent::location::Madrid,prof::Appius Claudius Caesar,located_in,Madrid,Appius Claudius Caesar
ent::location::Madrid,prof::Appius Claudius Scipio,located_in,Madrid,Appius Claudius Scipio
ent::location::Madrid,prof::Antonia Severa,located_in,Madrid,Antonia Severa
ent::location::Madrid,prof::Appius Cornelius Lepidus,located_in,Madrid,Appius Cornelius Lepidus
ent::location::Madrid,prof::Appius Fabius Crassus,located_in,Madrid,Appius Fabius Crassus
ent::location::Madrid,prof::Appius Flavius Caesar,located_in,Madrid,Appius Flavius Caesar
ent::location::Madrid,prof::Appius Flavius Flaccus,located_in,Madrid,Appius Flavius Flaccus
ent::location::Madrid,prof::Flavia Nasa,located_in,Madrid,Flavia Nasa
ent::location::Madrid,prof::Appius Horatius Drusus,located_in,Madrid,Appius Horatius Drusus
ent::location::Madrid,prof::Appius Horatius Flaccus,located_in,Madrid,Appius Horatius Flaccus
ent::location::Madrid,prof::Appius Horatius Paullus,located_in,Madrid,Appius Horatius Paullus
ent::location::Madrid,prof::Appius Julius Paullus,located_in,Madrid,Appius Julius Paullus
ent::location::Madrid,prof::Antonia Drusa,located_in,Madrid,Antonia Drusa
ent::location::Madrid,prof::Aemilia Flacca,located_in,Madrid,Aemilia Flacca
ent::location::Madrid,prof::Appius Licinius Naso,located_in,Madrid,Appius Licinius Naso
ent::location::Madrid,prof::Appius Licinius Scipio,located_in,Madrid,Appius Licinius Scipio
ent::location::Madrid,prof::Appius Licinius Brutus,located_in,Madrid,Appius Licinius Brutus
ent::location::Madrid,prof::Claudia Drusa,worked_in,Madrid,Claudia Drusa
ent::corporate_org::C,prof::Appius Fabius Crassus,worked_at,C,Appius Fabius Crassus
ent::academic_org::College Of Europe,prof::Appius Calpurnius Paullus,studied_at,College Of Europe,Appius Calpurnius Paullus
ent::academic_org::Energy,prof::Appius Horatius Naso,studied_at,Energy,Appius Horatius Naso
ent::academic_org::European Commission,prof::Appius Horatius Brutus,studied_at,European Commission,Appius Horatius Brutus
ent::academic_org::Ie University,prof::Flavia Prisca,studied_at,Ie University Spain,Flavia Prisca
ent::academic_org::Ie University,prof::Appius Aemilius Scipio,studied_at,Ie University Spain,Appius Aemilius Scipio
ent::academic_org::Ie University,prof::Appius Antonius Lepidus,studied_at,Ie University Spain,Appius Antonius Lepidus
ent::academic_org::Ie University,prof::Appius Calpurnius Severus,studied_at,Ie University Spain,Appius Calpurnius Severus
ent::academic_org::Ie University,prof::Appius Claudius Scipio,studied_at,Ie University Spain,Appius Claudius Scipio
ent::academic_org::Ie University,prof::Pompeia Prisca,studied_at,Ie University Spain,Pompeia Prisca
ent::academic_org::Ie University,prof::Appius Domitius Brutus,studied_at,Ie University Spain,Appius Domitius Brutus
ent::academic_org::Ie University,prof::Appius Fabius Drusus,studied_at,Ie University Spain,Appius Fabius Drusus
ent::academic_org::Ie University,prof::Appius Flavius Flaccus,studied_at,Ie University Spain,Appius Flavius Flaccus
ent::academic_org::Ie University,prof::Appius Flavius Rufus,studied_at,Ie University Spain,Appius Flavius Rufus
ent::academic_org::Ie University,prof::Flavia Nasa,studied_at,Ie University Spain,Flavia Nasa
ent::academic_org::Ie University,prof::Horatia Minor,studied_at,Ie University Spain,Horatia Minor
ent::academic_org::Ie University,prof::Appius Horatius Brutus,studied_at,Ie University Spain,Appius Horatius Brutus
ent::academic_org::Ie University,prof::Appius Horatius Flaccus,studied_at,Ie University Spain,Appius Horatius Flaccus
ent::academic_org::Ie University,prof::Appius Horatius Naso,studied_at,Ie University Spain,Appius Horatius Naso
ent::academic_org::Ie University,prof::Appius Horatius Sulla,studied_at,Ie University Spain,Appius Horatius Sulla
ent::academic_org::Ie University,prof::Antonia Drusa,studied_at,Ie University Spain,Antonia Drusa
ent::academic_org::Ie University,prof::Appius Licinius Naso,studied_at,Ie University Spain,Appius Licinius Naso
ent::academic_org::Ie University,prof::Appius Horatius Severus,studied_at,Ie University Spain,Appius Horatius Severus
ent::academic_org::Iese,prof::Appius Domitius Flaccus,studied_at,Iese,Appius Domitius Flaccus
ent::academic_org::Law,prof::Appius Calpurnius Paullus,studied_at,Law,Appius Calpurnius Paullus
ent::academic_org::Law,prof::Appius Flavius Drusus,studied_at,Law,Appius Flavius Drusus
ent::academic_org::Law,prof::Horatia Pulchra,studied_at,Law,Horatia Pulchra
ent::academic_org::Law,prof::Appius Licinius Scipio,studied_at,Law,Appius Licinius Scipio
prof::Flavia Prisca,ent::location::Colombia,located_in,Flavia Prisca,Colombia
prof::Flavia Prisca,ent::location::Europe,located_in,Flavia Prisca,Europe
prof::Flavia Prisca,ent::location::United States,located_in,Flavia Prisca,United States
prof::Flavia Prisca,ent::corporate_org::Citibank,worked_at,Flavia Prisca,Citibank
prof::Flavia Prisca,ent::corporate_org::Embassy Of Colombia,worked_at,Flavia Prisca,Embassy Of Colombia
prof::Flavia Prisca,ent::corporate_org::Government Of Colombia,worked_at,Flavia Prisca,Government Of Colombia
prof::Flavia Prisca,ent::corporate_org::Harvard Strategy Consulting,worked_at,Flavia Prisca,Harvard Strategy Consulting
prof::Flavia Prisca,ent::corporate_org::Independent Consulting,worked_at,Flavia Prisca,Independent Consulting
prof::Flavia Prisca,ent::corporate_org::Plan Colombia Europe,worked_at,Flavia Prisca,Plan Colombia Europe
prof::Flavia Prisca,ent::corporate_org::Women ’ S World Banking Co.,worked_at,Flavia Prisca,Women ’ S World Banking Co.
prof::Flavia Prisca,ent::course::Digital,teaches_course,Flavia Prisca,Digital
prof::Flavia Prisca,ent::academic_org::Ai,studied_at,Flavia Prisca,Ai
prof::Flavia Prisca,ent::academic_org::Business Administration,studied_at,Flavia Prisca,Business Administration
prof::Flavia Prisca,ent::academic_org::Harvard University,studied_at,Flavia Prisca,Harvard University
prof::Flavia Prisca,ent::academic_org::Icade,studied_at,Flavia Prisca,Icade
prof::Flavia Prisca,ent::academic_org::Stanford University,studied_at,Flavia Prisca,Stanford University
prof::Flavia Prisca,ent::academic_org::University Of The Andes,studied_at,Flavia Prisca,University Of The Andes
prof::Flavia Prisca,ent::academic_org::Pontifical University,studied_at,Flavia Prisca,Comillas Pontifical University
ent::location::Colombia,prof::Appius Fabius Drusus,located_in,Colombia,Appius Fabius Drusus
ent::location::Europe,prof::Appius Cornelius Cicero,located_in,Europe,Appius Cornelius Cicero
ent::location::Europe,prof::Flavia Nasa,located_in,Europe,Flavia Nasa
ent::location::Europe,prof::Antonia Drusa,located_in,Europe,Antonia Drusa
ent::location::Europe,prof::Appius Licinius Cicero,located_in,Europe,Appius Licinius Cicero
ent::location::Europe,prof::Appius Licinius Drusus,located_in,Europe,Appius Licinius Drusus
ent::location::Europe,prof::Appius Licinius Brutus,located_in,Europe,Appius Licinius Brutus
